comment,replies,date,user_name,cleaned_comment,sentiment
Lahore😊,[],2024-12-06T06:20:12Z,@azadarhussain2305,Lahore,"[{'label': 'neutral', 'score': 0.9989370703697205}]"
Ja! Ronaldo errando todo!!!!! 😂. Viva Messi!!!!❤️🐐,[],2024-12-06T06:19:36Z,@MatusydOtero,Ja Ronaldo errando todo Viva Messi,"[{'label': 'love', 'score': 0.714308500289917}]"
Pakistan mein rahata,[],2024-12-06T06:19:33Z,@azadarhussain2305,Pakistan mein rahata,"[{'label': 'neutral', 'score': 0.9991612434387207}]"
Main,[],2024-12-06T06:19:21Z,@azadarhussain2305,Main,"[{'label': 'curiosity', 'score': 0.8252535462379456}]"
Average football amateur has better control than ronaldo,[],2024-12-06T06:19:10Z,@Xaxaxoxa,Average football amateur has better control than ronaldo,"[{'label': 'neutral', 'score': 0.9999666213989258}]"
"हर वक़्त मां के चेहरे पर वो हंसी दिखती है मुझे,
जो रूठे को भी हंसा दे वो खूबी दिखती है मुझे,
ज़िंदगी भर यूं ही मुस्कुराता रहे मेरी मां का चेहरा ,
हर वक़्त अपने कलेजे से लगाकर रखती है मुझे। nice ❤❤❤😂😢",[],2024-12-06T06:19:05Z,@DABLUBIHARIENTERTAINMENT,हर वकत म क चहर पर व हस दखत ह मझ ज रठ क भ हस द व खब दखत ह मझ जदग भर य ह मसकरत रह मर म क चहर हर वकत अपन कलज स लगकर रखत ह मझ nice,"[{'label': 'empty', 'score': 0.5296005606651306}]"
Cristiano Ronaldo 🫡 🙅‍♂️,[],2024-12-06T06:17:38Z,@almahfuzbappy1241,Cristiano Ronaldo,"[{'label': 'neutral', 'score': 0.9996469020843506}]"
aku orang Indonesia jimi,[],2024-12-06T06:16:34Z,@WahyuWau-k8o,aku orang Indonesia jimi,"[{'label': 'neutral', 'score': 0.9999134540557861}]"
yo ya estoy esperando a que salga en soy georgina este episodio,[],2024-12-06T06:15:56Z,@sofiavenegas92,yo ya estoy esperando a que salga en soy georgina este episodio,"[{'label': 'neutral', 'score': 0.9993273019790649}]"
DUDE SPED DID INSANE,[],2024-12-06T06:15:40Z,@KadekPasek-ke3rn,DUDE SPED DID INSANE,"[{'label': 'excitement', 'score': 0.7042543888092041}]"
waruo is neme,[],2024-12-06T06:15:30Z,@WahyuWau-k8o,waruo is neme,"[{'label': 'neutral', 'score': 0.9700614213943481}]"
Ronaldo ingin dia dia yang menang 👍👍,[],2024-12-06T06:15:21Z,@chandrajhon5805,Ronaldo ingin dia dia yang menang,"[{'label': 'neutral', 'score': 0.6188892722129822}]"
The two legend one frem ❤❤,[],2024-12-06T06:15:14Z,@jhsi2008-e2s,The two legend one frem,"[{'label': 'neutral', 'score': 0.8803470730781555}]"
Hello,[],2024-12-06T06:15:10Z,@VyMaiThanh-xx2fz,Hello,"[{'label': 'neutral', 'score': 0.9998063445091248}]"
Uyy,[],2024-12-06T06:14:11Z,@raihangimnastyar7947,Uyy,"[{'label': 'approval', 'score': 0.9102320075035095}]"
＼🎉,[],2024-12-06T06:14:06Z,@jackiecheung5192,,"[{'label': 'Neutral', 'score': 1.0}]"
يا حضك يا خالد الله يبارك ف رزقك يارب,[],2024-12-06T06:13:49Z,@عمرانالبلوج,يا حضك يا خالد الله يبارك ف رزقك يارب,"[{'label': 'neutral', 'score': 0.9994400143623352}]"
Support me plxx 🥺💔,[],2024-12-06T06:11:28Z,@Kamran_valog_32,Support me plxx,"[{'label': 'neutral', 'score': 0.943756103515625}]"
🌿🌟🌟🌟🌟🌟,[],2024-12-06T06:11:22Z,@2020naaz,,"[{'label': 'Neutral', 'score': 1.0}]"
Mrbeast is gone❤,[],2024-12-06T06:09:58Z,@Ucancallmeosaze,Mrbeast is gone,"[{'label': 'neutral', 'score': 0.9991446733474731}]"
ronaldo the goat,[],2024-12-06T06:07:06Z,@mcscoy4606,ronaldo the goat,"[{'label': 'love', 'score': 0.9954278469085693}]"
We bring the boom,[],2024-12-06T06:06:44Z,@IbrahimSohab,We bring the boom,"[{'label': 'approval', 'score': 0.6756747364997864}]"
Speed sound have bin there with Ronaldo,[],2024-12-06T06:04:48Z,@Pump_gun,Speed sound have bin there with Ronaldo,"[{'label': 'happiness', 'score': 0.9992178678512573}]"
nahh,[],2024-12-06T06:04:41Z,@LINGHEELEEKPM-Guru,nahh,"[{'label': 'disapproval', 'score': 0.9979168772697449}]"
"Mr. Beiste, please give me some money.🥺😿",[],2024-12-06T06:04:09Z,@OSOS_o1p,Mr Beiste please give me some money,"[{'label': 'neutral', 'score': 0.9046725630760193}]"
So funny 😂😂😂😂,[],2024-12-06T05:58:39Z,@MdShawnislamMdShawn-g2m,So funny,"[{'label': 'amusement', 'score': 0.9934117197990417}]"
December. 19 is the day before my brothers birth day he is so happy,[],2024-12-06T05:58:09Z,@Taylorsversion13-b3b,December 19 is the day before my brothers birth day he is so happy,"[{'label': 'joy', 'score': 0.8139933943748474}]"
Good video 👍🎉😅,[],2024-12-06T05:56:47Z,@Sergiosi111,Good video,"[{'label': 'admiration', 'score': 0.9996997117996216}]"
Bangla ❤,[],2024-12-06T05:55:39Z,@MofuzBangladesh,Bangla,"[{'label': 'neutral', 'score': 0.9983080625534058}]"
Messi is better than ronaldo,[],2024-12-06T05:53:29Z,@godstrikes,Messi is better than ronaldo,"[{'label': 'neutral', 'score': 0.9994301199913025}]"
Мистер бист я тебя обожаю смотреть!!!!!!!,[],2024-12-06T05:52:01Z,@FELIX-p4o4f,Мистер бист я тебя обожаю смотреть,"[{'label': 'neutral', 'score': 0.9992175102233887}]"
I think ronaldo lost for obvious reasons,[],2024-12-06T05:51:09Z,@juliusgaias7739,I think ronaldo lost for obvious reasons,"[{'label': 'neutral', 'score': 0.9992061257362366}]"
Ronaldo issed on purpose,[],2024-12-06T05:49:30Z,@faizahmed6151,Ronaldo issed on purpose,"[{'label': 'neutral', 'score': 0.9994978904724121}]"
"Кто видел видос, где чувак приехал в Индию ради Биста?",[],2024-12-06T05:49:21Z,@ne_sasho,Кто видел видос где чувак приехал в Индию ради Биста,"[{'label': 'neutral', 'score': 0.9836273193359375}]"
Adam,[],2024-12-06T05:48:56Z,@muratturan3041,Adam,"[{'label': 'neutral', 'score': 0.9992899894714355}]"
Adam,[],2024-12-06T05:48:45Z,@muratturan3041,Adam,"[{'label': 'neutral', 'score': 0.9992899894714355}]"
Adam,[],2024-12-06T05:48:32Z,@muratturan3041,Adam,"[{'label': 'neutral', 'score': 0.9992899894714355}]"
Hi mr beast im bangali❤❤,[],2024-12-06T05:48:15Z,@alaminvi7,Hi mr beast im bangali,"[{'label': 'neutral', 'score': 0.9998821020126343}]"
Respect to Jonah I felt bad he was trying so hard you could see,[],2024-12-06T05:47:58Z,@Arsenalplayer873,Respect to Jonah I felt bad he was trying so hard you could see,"[{'label': 'sadness', 'score': 0.9997351765632629}]"
Siuuuuu,[],2024-12-06T05:47:52Z,@HanDinh-ql9ji,Siuuuuu,"[{'label': 'amusement', 'score': 0.9615606665611267}]"
Mr beast es mi cumpleaños el 19  de diciembre,[],2024-12-06T05:46:50Z,@CarlosJesusVicenteUpiachihua,Mr beast es mi cumpleaños el 19 de diciembre,"[{'label': 'neutral', 'score': 0.997686505317688}]"
"Джими я твой фанат из России,я очень хочу приехать в Америку ,что бы встреться с тобой",[],2024-12-06T05:46:38Z,@Mayer23,Джими я твой фанат из Россиия очень хочу приехать в Америку что бы встреться с тобой,"[{'label': 'neutral', 'score': 0.9990209341049194}]"
Where is Messi.,[],2024-12-06T05:45:33Z,@Worstevergame,Where is Messi,"[{'label': 'curiosity', 'score': 0.45186612010002136}]"
Messi mejor que cristiano Ronaldo 😅😅,[],2024-12-06T05:42:59Z,@FernandoAguiirre,Messi mejor que cristiano Ronaldo,"[{'label': 'neutral', 'score': 0.9999215602874756}]"
But I can be the fastestperson on earth,[],2024-12-06T05:42:49Z,@MrLetmein1,But I can be the fastestperson on earth,"[{'label': 'neutral', 'score': 0.9994669556617737}]"
He is musil i am proud,[],2024-12-06T05:42:23Z,@umorfaruk3437,He is musil i am proud,"[{'label': 'pride', 'score': 0.9363595247268677}]"
"Olá MR BEAST , acabei de me inscrever no seu canal me convide para seus desafios 🤠🤞",[],2024-12-06T05:41:04Z,@MotoclubeMemes,Olá MR BEAST acabei de me inscrever no seu canal me convide para seus desafios,"[{'label': 'neutral', 'score': 0.9939063191413879}]"
Y:v,[],2024-12-06T05:39:17Z,@abahrulll,Yv,"[{'label': 'neutral', 'score': 0.8506483435630798}]"
Cr7❤,[],2024-12-06T05:38:29Z,@ufcmark,Cr7,"[{'label': 'neutral', 'score': 0.9973560571670532}]"
সময়ের সেরা প্রতিবাদি সংগীত | Dilly Na Dhaka | দিল্লি না ঢাকা |,[],2024-12-06T05:37:46Z,@BAYZEDALHABIBBLOG,সময়র সর পরতবদ সগত Dilly Na Dhaka দলল ন ঢক,"[{'label': 'neutral', 'score': 0.9998759031295776}]"
Me despciona escucharte decirte que Cristiano es el mejor 😢😢😢 Ya no soy tu fan 😢😐😔😔,[],2024-12-06T05:36:37Z,@Rp-Rods.10,Me despciona escucharte decirte que Cristiano es el mejor Ya no soy tu fan,"[{'label': 'neutral', 'score': 0.995933473110199}]"
You should add hockey!,[],2024-12-06T05:34:59Z,@AshleykelsieChing,You should add hockey,"[{'label': 'neutral', 'score': 0.9997001886367798}]"
😮😂,[],2024-12-06T05:34:17Z,@OpenPlayground100,,"[{'label': 'Neutral', 'score': 1.0}]"
Ronaldo,[],2024-12-06T05:34:14Z,@md.anowar.204,Ronaldo,"[{'label': 'love', 'score': 0.6128832697868347}]"
Vai lançar também na Disney,[],2024-12-06T05:33:24Z,@analigialopes674,Vai lançar também na Disney,"[{'label': 'neutral', 'score': 0.9981862902641296}]"
Бист так держать !  Самый лучший блогер 😊,[],2024-12-06T05:33:12Z,@Artem72rus,Бист так держать Самый лучший блогер,"[{'label': 'neutral', 'score': 0.985763430595398}]"
0-7 thala for a reason,[],2024-12-06T05:32:55Z,@Prolegend-f7d,07 thala for a reason,"[{'label': 'annoyance', 'score': 0.5899354219436646}]"
This huge 100000 se uper hai suiiii😌🥰😘😘😘😘😘😘😘,[],2024-12-06T05:30:51Z,@Ruckcenzo-uy1oc,This huge 100000 se uper hai suiiii,"[{'label': 'neutral', 'score': 0.9995711445808411}]"
roanldo is very kind person he le win the game to kahlid and enjoy ove that man and love mr beast very crazy man mr beast best always best love you,[],2024-12-06T05:30:48Z,@yash6468-p8c,roanldo is very kind person he le win the game to kahlid and enjoy ove that man and love mr beast very crazy man mr beast best always best love you,"[{'label': 'love', 'score': 0.9998317956924438}]"
Mohomes better,[],2024-12-06T05:29:18Z,@thegoat4-s7v,Mohomes better,"[{'label': 'neutral', 'score': 0.998132050037384}]"
Omg,[],2024-12-06T05:29:12Z,@ANPHAMBAO-b4p,Omg,"[{'label': 'surprise', 'score': 0.9984253644943237}]"
No soy hater pero ya los videos se ven muy fingidos como si ya todo estuviera fríamente calculado.😅😅😅 Solo miden la cara de Ronaldo algo no está bien😅,[],2024-12-06T05:29:10Z,@minervacaporal5813,No soy hater pero ya los videos se ven muy fingidos como si ya todo estuviera fríamente calculado Solo miden la cara de Ronaldo algo no está bien,"[{'label': 'neutral', 'score': 0.9981586337089539}]"
Hi❤❤❤❤❤,[],2024-12-06T05:28:05Z,@xpartabir,Hi,"[{'label': 'neutral', 'score': 0.9999302625656128}]"
Brother Khalid is the most luckiest man to have ever meet the g.o.a.t,[],2024-12-06T05:27:24Z,@jrqolx,Brother Khalid is the most luckiest man to have ever meet the goat,"[{'label': 'love', 'score': 0.9979839324951172}]"
"Cristiano Ronaldo, football legend. I am watching this clip for you, Cristiano 🐐🇵🇹🙏🏻❤",[],2024-12-06T05:27:16Z,@Hadyben7,Cristiano Ronaldo football legend I am watching this clip for you Cristiano,"[{'label': 'love', 'score': 0.7955753803253174}]"
Los famosos son tan excelentes personas que prefieren que ganen la plata los concursantes,[],2024-12-06T05:25:58Z,@leonardooses2249,Los famosos son tan excelentes personas que prefieren que ganen la plata los concursantes,"[{'label': 'neutral', 'score': 0.9989226460456848}]"
I'm your fan,[],2024-12-06T05:25:19Z,@Bonitolind,Im your fan,"[{'label': 'curiosity', 'score': 0.5609526634216309}]"
eres MI IDOLO VEN A HONDURAS,[],2024-12-06T05:24:13Z,@nahulruiz1266,eres MI IDOLO VEN A HONDURAS,"[{'label': 'worry', 'score': 0.9655041694641113}]"
Penquio MRBEA,[],2024-12-06T05:22:43Z,@nenita-wt6yk,Penquio MRBEA,"[{'label': 'neutral', 'score': 0.5037121772766113}]"
Penkio,[],2024-12-06T05:21:28Z,@nenita-wt6yk,Penkio,"[{'label': 'neutral', 'score': 0.9115016460418701}]"
Pro vs Joes reboot? Make it happen Mr.Beast!,[],2024-12-06T05:20:45Z,@marcusgalloway8493,Pro vs Joes reboot Make it happen MrBeast,"[{'label': 'neutral', 'score': 0.9999344348907471}]"
가짜 호날두 같을 정도로 폼이 죽었네.. 은퇴를 왜 안하는거야?,[],2024-12-06T05:20:17Z,@마구산이웃,가짜 호날두 같을 정도로 폼이 죽었네 은퇴를 왜 안하는거야,"[{'label': 'neutral', 'score': 0.9992102384567261}]"
Grande el bicho siempre humilde ante todo,[],2024-12-06T05:20:14Z,@ZAANZGG,Grande el bicho siempre humilde ante todo,"[{'label': 'neutral', 'score': 0.9998914003372192}]"
Messi the goat 🐐,[],2024-12-06T05:19:49Z,@xanpubg9271,Messi the goat,"[{'label': 'curiosity', 'score': 0.9117040634155273}]"
Ese no es el verdadero Cristiano Ronaldo es la mejor imitacion que e visto,[],2024-12-06T05:19:39Z,@edwinpena1554,Ese no es el verdadero Cristiano Ronaldo es la mejor imitacion que e visto,"[{'label': 'neutral', 'score': 0.9999021291732788}]"
Siuuuu,[],2024-12-06T05:19:27Z,@shahinhasan1708,Siuuuu,"[{'label': 'amusement', 'score': 0.8955563306808472}]"
пишите по русски,[],2024-12-06T05:17:55Z,@Scoratus,пишите по русски,"[{'label': 'neutral', 'score': 0.9998151659965515}]"
Porque Ronaldo habla como Loquendo xd,[],2024-12-06T05:17:35Z,@josueramirez4868,Porque Ronaldo habla como Loquendo xd,"[{'label': 'neutral', 'score': 0.9789350628852844}]"
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,[],2024-12-06T05:16:53Z,@aminiNuman4321,,"[{'label': 'Neutral', 'score': 1.0}]"
"The greatest football player who ever lived is Pelé, with all due respect to Cristiano",[],2024-12-06T05:15:29Z,@Doritone,The greatest football player who ever lived is Pelé with all due respect to Cristiano,"[{'label': 'neutral', 'score': 0.9903604984283447}]"
"Porque todos tienen doblaje latino, pero Ronaldo tiene doblaje español?",[],2024-12-06T05:15:18Z,@eliakoscarsantos275,Porque todos tienen doblaje latino pero Ronaldo tiene doblaje español,"[{'label': 'neutral', 'score': 0.9999167919158936}]"
Ахуеть,[],2024-12-06T05:14:41Z,@ТимурТтт-е4л,Ахуеть,"[{'label': 'neutral', 'score': 0.9743940234184265}]"
Le gana messi,[],2024-12-06T05:14:22Z,@ianrodriguez8168,Le gana messi,"[{'label': 'neutral', 'score': 0.999933123588562}]"
Jonah’s fast,[],2024-12-06T05:14:18Z,@PrestonPiper-hz3cd,Jonahs fast,"[{'label': 'neutral', 'score': 0.9945870637893677}]"
❤🎉,[],2024-12-06T05:11:56Z,@WazeerAli-o4e,,"[{'label': 'Neutral', 'score': 1.0}]"
Cr7🎉🎉 Ronaldo is best ❤❤,[],2024-12-06T05:08:29Z,@armanhossen7143,Cr7 Ronaldo is best,"[{'label': 'neutral', 'score': 0.9247881174087524}]"
So this is what they’ve been doing except being Costco guys 9:17,[],2024-12-06T05:08:04Z,@MicheleZeller,So this is what theyve been doing except being Costco guys 917,"[{'label': 'neutral', 'score': 0.9999250173568726}]"
shoulda got shohei ohtahni,[],2024-12-06T05:07:04Z,@Thekiddrl,shoulda got shohei ohtahni,"[{'label': 'surprise', 'score': 0.866768479347229}]"
Decemeber 19 is myyy birthdayy🎉🎉,[],2024-12-06T05:06:58Z,@Da_vinchi00,Decemeber 19 is myyy birthdayy,"[{'label': 'happiness', 'score': 0.9997329115867615}]"
"Mr Beast A4 is copy you. 
I am from Russia. 
I like Mr Beast.",[],2024-12-06T05:06:18Z,@KarinaGplay,Mr Beast A4 is copy you I am from Russia I like Mr Beast,"[{'label': 'love', 'score': 0.9790430068969727}]"
Les gano un niño🗣🔥🔥,[],2024-12-06T05:05:03Z,@rafaelpt342,Les gano un niño,"[{'label': 'neutral', 'score': 0.9999158382415771}]"
Cr7,[],2024-12-06T05:04:50Z,@MdAbdurRahman-x1z,Cr7,"[{'label': 'neutral', 'score': 0.9973560571670532}]"
El youtuber 😂,[],2024-12-06T05:04:24Z,@strne0,El youtuber,"[{'label': 'neutral', 'score': 0.9995959401130676}]"
20 December video dekha Jonno onek optic ka courtesy,[],2024-12-06T05:03:26Z,@akashalwaysonfire-z6c,20 December video dekha Jonno onek optic ka courtesy,"[{'label': 'enthusiasm', 'score': 0.9997811913490295}]"
❤❤,[],2024-12-06T05:01:10Z,@mdnishad4172,,"[{'label': 'Neutral', 'score': 1.0}]"
Le meilleur avec les meilleurs,[],2024-12-06T04:59:20Z,@islam.excellent,Le meilleur avec les meilleurs,"[{'label': 'neutral', 'score': 0.9999221563339233}]"
Jajaja que humilde mi comediante para dejarse ganar jajaja xD,[],2024-12-06T04:58:38Z,@xxcamuraxx,Jajaja que humilde mi comediante para dejarse ganar jajaja xD,"[{'label': 'neutral', 'score': 0.9997603297233582}]"
Meesi,[],2024-12-06T04:57:59Z,@Belal12384x,Meesi,"[{'label': 'neutral', 'score': 0.9993543028831482}]"
Mrbeast give me money please 😢 I am subscribe your YouTube channel,[],2024-12-06T04:57:57Z,@B.pallonCkz,Mrbeast give me money please I am subscribe your YouTube channel,"[{'label': 'happiness', 'score': 0.9921459555625916}]"
3:16 usain bolt?,[],2024-12-06T04:57:50Z,@DrizzelMaePerra,316 usain bolt,"[{'label': 'neutral', 'score': 0.9999076128005981}]"
❤❤❤ The Best with the Best,[],2024-12-06T04:56:59Z,@islam.excellent,The Best with the Best,"[{'label': 'neutral', 'score': 0.5310527682304382}]"
Thankyou 6 subscribe 🙏🙏,[],2024-12-06T04:53:50Z,@vikashchoudhary07,Thankyou 6 subscribe,"[{'label': 'gratitude', 'score': 0.9995883107185364}]"
messi*,[],2024-12-06T04:53:29Z,@jlife441,messi,"[{'label': 'neutral', 'score': 0.997452437877655}]"
в конце реклама это начало игры в кальмара в реальности ))0,[],2024-12-06T04:53:10Z,@РикетБьёрсан,в конце реклама это начало игры в кальмара в реальности 0,"[{'label': 'neutral', 'score': 0.9981294274330139}]"
19:29 grande el bicho acomodando su bicho,[],2024-12-06T04:52:52Z,@Luanlook,1929 grande el bicho acomodando su bicho,"[{'label': 'neutral', 'score': 0.9999078512191772}]"
19th december is my bday,[],2024-12-06T04:50:42Z,@-Fluid-10,19th december is my bday,"[{'label': 'happiness', 'score': 0.6645781397819519}]"
Thank you for 30 subscriber ❤,[],2024-12-06T04:50:19Z,@clifterjohndurong,Thank you for 30 subscriber,"[{'label': 'gratitude', 'score': 0.9954261183738708}]"
they all goin easy,[],2024-12-06T04:49:44Z,@slimbutnotshady4021,they all goin easy,"[{'label': 'realization', 'score': 0.4610411524772644}]"
Suuuuuuuuuuu I love you❤❤❤❤❤❤❤❤❤,[],2024-12-06T04:49:17Z,@dineobogatsu5875,Suuuuuuuuuuu I love you,"[{'label': 'love', 'score': 0.9998550415039062}]"
Siuuuuuuuuuuuuuuuuuu,[],2024-12-06T04:49:03Z,@JulietaEyzaguirre,Siuuuuuuuuuuuuuuuuuu,"[{'label': 'amusement', 'score': 0.9715901017189026}]"
Ronaldo is goat suuuuuuuu,[],2024-12-06T04:47:09Z,,Ronaldo is goat suuuuuuuu,"[{'label': 'happiness', 'score': 0.604586124420166}]"
Se fosse o Ronaldinho Gaúcho ele teria acertado tudo de primeira certeza hahahaha,[],2024-12-06T04:46:57Z,@lunaresbr,Se fosse o Ronaldinho Gaúcho ele teria acertado tudo de primeira certeza hahahaha,"[{'label': 'happiness', 'score': 0.9960793852806091}]"
Messi es mejor :(,[],2024-12-06T04:46:21Z,@Monika-z1i7z,Messi es mejor,"[{'label': 'neutral', 'score': 0.9995866417884827}]"
anh ro ơi anh già rồi 😢,[],2024-12-06T04:44:36Z,@toancd1597,anh ro ơi anh già rồi,"[{'label': 'neutral', 'score': 0.9993040561676025}]"
Ronaldooooo😂,[],2024-12-06T04:43:07Z,@Elwoodypibe,Ronaldooooo,"[{'label': 'neutral', 'score': 0.9962809681892395}]"
19:08 RonaldoCR7 😻❤️,[],2024-12-06T04:42:41Z,@Vaiana26789,1908 RonaldoCR7,"[{'label': 'neutral', 'score': 0.9991320967674255}]"
Dude speed did insane 😮,[],2024-12-06T04:42:27Z,@Nasir_Fida,Dude speed did insane,"[{'label': 'annoyance', 'score': 0.9200336337089539}]"
Mantapp 👌🏻👌🏻😍👍🏻,[],2024-12-06T04:42:10Z,@Jabot28069,Mantapp,"[{'label': 'neutral', 'score': 0.6900584101676941}]"
打者勝負になった時は大谷翔平来るかと思った,"[{'username': '@hyperMr.', 'comment': '大谷翔平にはいい翻訳者がいなかった', 'date': '2024-12-06T04:42:01Z'}]",2024-12-06T04:42:01Z,@hyperMr.,打者勝負になった時は大谷翔平来るかと思った,"[{'label': 'neutral', 'score': 0.9875170588493347}]"
Türkler bu yorumu begensin,[],2024-12-06T04:41:34Z,@sokakyıldızları-r4q,Türkler bu yorumu begensin,"[{'label': 'neutral', 'score': 0.9999192953109741}]"
Love you ronaldo 😊,[],2024-12-06T04:40:30Z,@Nasir_Fida,Love you ronaldo,"[{'label': 'love', 'score': 0.9998158812522888}]"
Cr7 best goat ever did you see that  how humble he is,[],2024-12-06T04:40:19Z,@Bangla_star,Cr7 best goat ever did you see that how humble he is,"[{'label': 'love', 'score': 0.9880331754684448}]"
Woow what a presenting!,[],2024-12-06T04:38:39Z,@robbiesatria9,Woow what a presenting,"[{'label': 'admiration', 'score': 0.9989979863166809}]"
21:41 most stressful time in my life,[],2024-12-06T04:38:39Z,@JJ1500-r9d,2141 most stressful time in my life,"[{'label': 'neutral', 'score': 0.9996914863586426}]"
Thanks for 120 Subscribers 😊😊,[],2024-12-06T04:38:33Z,@refreshlifeMP,Thanks for 120 Subscribers,"[{'label': 'gratitude', 'score': 0.9923616647720337}]"
Very nice challenging,[],2024-12-06T04:38:02Z,@SohelVlog8,Very nice challenging,"[{'label': 'admiration', 'score': 0.9999178647994995}]"
thuê cr7 à,[],2024-12-06T04:35:44Z,@phongbrobro6962,thuê cr7 à,"[{'label': 'annoyance', 'score': 0.7626224756240845}]"
Virat kohali ke sath me video dal k dikhao,[],2024-12-06T04:35:15Z,@Tusharvasave18,Virat kohali ke sath me video dal k dikhao,"[{'label': 'neutral', 'score': 0.9999725818634033}]"
😭he said am so proud of you 21:54,[],2024-12-06T04:35:06Z,@___ABHIJITH_____7,he said am so proud of you 2154,"[{'label': 'pride', 'score': 0.806522786617279}]"
"Messi es más mejor q Ronaldo, mrbeast eres doble cara",[],2024-12-06T04:35:05Z,@CristianLeondiaz,Messi es más mejor q Ronaldo mrbeast eres doble cara,"[{'label': 'neutral', 'score': 0.9973160624504089}]"
Doble cara.,[],2024-12-06T04:33:21Z,@arielrodriguezkosman7497,Doble cara,"[{'label': 'gratitude', 'score': 0.8879289031028748}]"
ふぁ？！,[],2024-12-06T04:32:14Z,@北日本ラブ,ふぁ,"[{'label': 'neutral', 'score': 0.9972764849662781}]"
The goofy thing about this video is the boom,[],2024-12-06T04:31:34Z,@MirandaCavazos-d6g,The goofy thing about this video is the boom,"[{'label': 'amusement', 'score': 0.4803556203842163}]"
